;;;;;;;;;;;;;;;;;;;;;;;;;
ANAHEIM DUCKS;;salaire;équipe;;;BOSTON BRUINS;;salaire;équipe;;;BUFFALO SABRES;;salaire;équipe;;;;;;;;;;
AG;CHRIS KREIDER;6,500;ANA;;;AG;J J PETERKA;7,700;BOS;;;AG;ZACH BENSON;7,500;BUF;;;;;;;;;;
AG;CUTTER GAUTHIER;15,000;ANA;;;AG;CASEY MITTELSTADT;5,750;BOS;;;AG;JASON ZUCKER;4,750;BUF;;;;;;;;;;
AG;ALEX KILLORN;6,250;ANA;;;AG;JAMES HAGENS;0,986;BOS;;;AG;NOAH OSTLUND;0,887;BUF;;;;;;;;;;
C;LÉO CARLSSON;18,000;ANA;;;C;PAVEL ZACHA;4,750;BOS;;;C;JOSH NORRIS;7,950;BUF;;;;;;;;;;
C;MIKAEL GRANLUND;7,000;ANA;;;C;ELIAS LINDHOLM;7,750;BOS;;;C;JIRI KULICH;0,887;BUF;;;;;;;;;;
C;RYAN POEHLING;3,750;ANA;;;C;FRASER MINTEN;0,879;BOS;;;C;KONSTA HELENIUS;0,954;BUF;;;;;;;;;;
AD;TROY TERRY;7,000;ANA;;;AD;DAVID PASTRNAK;11,250;BOS;;;AD;TAGE THOMPSON;7,140;BUF;;;;;;;;;;
AD;BECKETT SENNECKE;0,954;ANA;;;AD;MORGAN GEEKIE;5,500;BOS;;;AD;JACK QUINN;3,380;BUF;;;;;;;;;;
AD;FRANK VATRANO;4,570;ANA;;;AD;MARAT KHUSNUTDINOV;0,925;BOS;;;AD;JOSH DOAN;6,950;BUF;;;;;;;;;;
D;JACKSON LACOMBE;9,000;ANA;;;D;MASON LOHREI;3,200;BOS;;;D;RASMUS DAHLIN;11,000;BUF;;;;;;;;;;
D;PAVEL MINTYUKOV;7,200;ANA;;;D;CHARLIE MCAVOY;9,500;BOS;;;D;OWEN POWER;8,350;BUF;;;;;;;;;;
D;TRISTAN LUNEAU;0,865;ANA;;;D;HAMPUS LINDHOLM;6,500;BOS;;;D;OWEN ZELLWEGER;3,100;BUF;;;;;;;;;;
D;IAM MOORE;1,150;ANA;;;D;WILL BORGEN;4,100;BOS;;;D;MATTIAS SAMUELSSON;4,290;BUF;;;;;;;;;;
G;LUKAS DOSTAL;6,500;ANA;;;G;JEREMY SWAYMAN;8,250;BOS;;;G;ALEX LYON;1,150;BUF;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
CALGARY FLAMES;;salaire;équipe;;;CAROLINA HURRICANES;;salaire;équipe;;;CHICAGO BLACKHAWKS;;salaire;équipe;;;;;;;;;;
AG;MATVEI GRIDIN;0,954;CGY;;;AG;NIKOLAJ EHLERS;8,500;CAR;;;AG;TYLER BERTUZZI;5,500;CHI;;;;;;;;;;
AG;CONNOR ZARY;3,780;CGY;;;AG;TAYLOR HALL;3,170;CAR;;;AG;TEUVO TERAVAINEN;5,400;CHI;;;;;;;;;;
AG;JONATHAN HUBERDEAU;10,500;CGY;;;AG;WILLIAM CARRIER;2,150;CAR;;;AG;RYAN GREENE;0,950;CHI;;;;;;;;;;
C;MORGAN FROST;4,380;CGY;;;C;SEBASTIAN AHO;9,750;CAR;;;C;CONNOR BEDARD;15,000;CHI;;;;;;;;;;
C;MIKAEL BACKLUND;3,250;CGY;;;C;LOGAN STANKOVEN;6,000;CAR;;;C;FRANK NAZAR;6,600;CHI;;;;;;;;;;
C;RYAN STROME;5,000;CGY;;;C;JORDAN STAAL;2,980;CAR;;;C;ANTON FRONDELL;0,986;CHI;;;;;;;;;;
AD;MATT CORONATO;6,500;CGY;;;AD;ANDREI SVECHNIKOV;7,750;CAR;;;AD;ROMAN KANTSEROV;1,075;CHI;;;;;;;;;;
AD;JOEL FARABEE;5,000;CGY;;;AD;JACKSON BLAKE;5,120;CAR;;;AD;NICK LARDIS;0,925;CHI;;;;;;;;;;
AD;YEGOR SHARANKOVICH;5,750;CGY;;;AD;JORDAN MARTINOOK;3,130;CAR;;;AD;OLIVER MOORE;0,942;CHI;;;;;;;;;;
D;SIMON NEMEC;7,250;CGY;;;D;SHAYNE GOSTISBEHERE;3,200;CAR;;;D;BOWEN BYRAM;6,250;CHI;;;;;;;;;;
D;ZAYNE PAREKH;0,954;CGY;;;D;ALEXANDER NIKISHIN;7,500;CAR;;;D;ARTYOM LEVSHUNOV;0,975;CHI;;;;;;;;;;
D;KEVIN BAHL;5,350;CGY;;;D;KANDRE MILLER;7,500;CAR;;;D;SAM RINZEL;0,942;CHI;;;;;;;;;;
D;JACOB MIDDELTON;4,350;CGY;;;D;JACOB SLAVIN;6,400;CAR;;;D;ALEX VLASIC;4,600;CHI;;;;;;;;;;
G;DUSTIN WOLF;7,500;CGY;;;G;BRANDON BUSSI;1,900;CAR;;;G;SPENCER KINGHT;5,830;CHI;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
COLORADO AVALANCHE;;salaire;équipe;;;COLUMBUS BLUE JACKETS;;salaire;équipe;;;DALLAS STARS;;salaire;équipe;;;;;;;;;;
AG;ARTURRI LEHKONEN;4,500;COL;;;AG;VALERI NICHUSHKIN;6,130;CLB;;;AG;JASON ROBERTSON;12,000;DAL;;;;;;;;;;
AG;NAZEM KADRI;5,600;COL;;;AG;KENT JOHNSON;1,800;CLB;;;AG;SAM STEEL;2,100;DAL;;;;;;;;;;
AG;JADEN SCHWARTZ;3,250;COL;;;AG;DIMITRI VORONKOV;4,180;CLB;;;AG;JUSTIN HRYCKOMAN;0,950;DAL;;;;;;;;;;
C;NATHAN MACKINNON;12,600;COL;;;C;ADAM FANTILLI;12,500;CLB;;;C;WYATT JOHNSTON;8,400;DAL;;;;;;;;;;
C;BROCK NELSON;7,500;COL;;;C;SEAN MONAHAN;5,500;CLB;;;C;ROOPE HINTZ;8,450;DAL;;;;;;;;;;
C;NICOLAS ROY;3,000;COL;;;C;CHARLIE COYLE;6,000;CLB;;;C;MATT DUCHENE;4,500;DAL;;;;;;;;;;
AD;MARTIN NECAS;11,500;COL;;;AD;KIRILL MARCHENKO;3,850;CLB;;;AD;MIKKO RANTANEN;12,000;DAL;;;;;;;;;;
AD;GABRIEL LANDESKOG;7,000;COL;;;AD;CONNOR GARLAND;6,000;CLB;;;AD;TYLER SEGUIN;9,850;DAL;;;;;;;;;;
AD;LOGAN OCONNOR;2,500;COL;;;AD;MATHIEU OLIVIER;3,000;CLB;;;AD;JAMIE BENN;0,850;DAL;;;;;;;;;;
D;CALE MAKAR;9,000;COL;;;D;ZACH WERENSKI;9,583;CLB;;;D;MIRO HEISKANEN;8,450;DAL;;;;;;;;;;
D;DEVON TOEWS;7,250;COL;;;D;DAMON SEVERSON;6,250;CLB;;;D;THOMAS HARLEY;10,590;DAL;;;;;;;;;;
D;SAM MALINSKI;4,750;COL;;;D;IVAN PROVOROV;8,500;CLB;;;D;ESA LINDELL;5,250;DAL;;;;;;;;;;
D;BRENT BURNS;0,850;COL;;;D;DENTON MATEYCHUK;0,887;CLB;;;D;NILS LUNDQVIST;1,750;DAL;;;;;;;;;;
G;MACKENZIE BLACKWOOD;5,250;COL;;;G;JET GREAVES;5,000;CLB;;;G;JAKE OETTINGER;8,250;DAL;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
